lat,lon,temp_avg,temp_min,temp_max,pm_1_avg,pm_1_min,pm_1_max,pm_2_5_avg,pm_2_5_min,pm_2_5_max,pm_10_avg,pm_10_min,pm_10_max,hum_avg,hum_min,hum_max,date,hour
51.456,5.406,21.727512,21.723507,21.731518,9.480779,9.402712,9.5588455,10.025564,9.943011,10.108117,10.025564,9.943011,10.108117,29.31028,28.935669,29.68489,2025-03-19,15
51.454,5.407,21.830318,21.830318,21.830318,9.757837,9.757837,9.757837,10.3185425,10.3185425,10.3185425,10.3185425,10.3185425,10.3185425,29.088272,29.088272,29.088272,2025-03-19,15
51.455,5.407,21.828983,21.800945,21.857021,9.94037,9.932914,9.947825,10.511563,10.503679,10.519448,10.511563,10.503679,10.519448,28.94941,28.709839,29.18898,2025-03-19,15
51.457,5.407,21.843672,21.83566,21.851683,9.587684,9.462744,9.712624,10.138612,10.006493,10.270731,10.138612,10.006493,10.270731,29.89547,29.550613,30.240326,2025-03-19,15
51.453,5.408,21.774242,21.774242,21.774242,8.642352,8.642352,8.642352,9.13896,9.13896,9.13896,9.13896,9.13896,9.13896,28.633545,28.633545,28.633545,2025-03-19,15
51.454,5.408,21.895742,21.878386,21.9131,9.579106,9.26418,9.894033,10.129541,9.796519,10.462564,10.129541,9.796519,10.462564,29.356064,29.082169,29.62996,2025-03-19,15
51.457,5.408,21.878386,21.878386,21.878386,10.077666,10.077666,10.077666,10.65675,10.65675,10.65675,10.65675,10.65675,10.65675,29.410233,29.410233,29.410233,2025-03-19,15
51.458,5.408,21.787594,21.787594,21.787594,10.05481,10.05481,10.05481,10.63258,10.63258,10.63258,10.63258,10.63258,10.63258,30.273895,30.273895,30.273895,2025-03-19,15
51.453,5.409,21.850346,21.83566,21.865032,8.217541,8.151672,8.283409,8.689737,8.620084,8.759391,8.689737,8.620084,8.759391,28.995186,28.89447,29.095901,2025-03-19,15
51.458,5.409,21.917107,21.870375,21.963837,9.683668,9.635371,9.731966,10.240112,10.189039,10.291185,10.240112,10.189039,10.291185,29.13099,28.262756,29.999222,2025-03-19,15
51.452,5.41,21.958494,21.857021,22.059967,8.098443,7.9782257,8.218661,8.563797,8.436671,8.690922,8.563797,8.436671,8.690922,28.247498,28.155945,28.33905,2025-03-19,15
51.458,5.41,21.766232,21.766232,21.766232,10.176187,10.176187,10.176187,10.760931,10.760931,10.760931,10.760931,10.760931,10.760931,28.279541,28.279541,28.279541,2025-03-19,15
51.459,5.41,21.766232,21.766232,21.766232,10.093585,10.093585,10.093585,10.673583,10.673583,10.673583,10.673583,10.673583,10.673583,28.439758,28.439758,28.439758,2025-03-19,15
51.445,5.411,22.29095,22.262913,22.318989,7.3703127,7.355786,7.384839,7.7938256,7.7784643,7.8091874,7.7938256,7.7784643,7.8091874,27.71724,27.531845,27.902634,2025-03-19,15
51.446,5.411,22.509474,22.361715,22.6421,7.4844456,7.198812,7.646377,7.914517,7.6124706,8.085753,7.914517,7.6124706,8.085753,29.00892,28.088806,30.841522,2025-03-19,15
